Company,Level,Tag,Years of Experience,Total Compensation
Shield AI,L2,ML / AI,1  yr,"$164,500"
Visa,Senior Software Engineer,Full Stack,10  yrs,"$153,000"
Google,L6,Distributed Systems (Back-End),8  yrs,"$569,000"
Mphasis,L3,hidden,13  yrs,"$145,000"
Bank of America,Feature Lead,Web Development (Front-End),10  yrs,"$149,000"
Hightouch,Senior Backend Engineer,Distributed Systems,N/A,$170K-$240K
iRobot,Principal Software Engineer,hidden,8  yrs,"$150,000"
Google,L6,Distributed Systems (Back-End),12  yrs,"$735,500"
IBM,Senior Engineer,Csm,25  yrs,"$285,000"
NTT DATA,Associate Software Engineer,"Applications (Salesforce, Workday, etc)",3  yrs,"$100,000"
Bandcamp,Senior,Full Stack,12  yrs,"$132,000"
Cisco,Technical Leader 2,Networking,16  yrs,"$365,000"
Amazon,SDE I,Full Stack,3  yrs,"$220,000"
Amazon,SDE II,Full Stack,4  yrs,"$259,000"
Cruise,L5,Distributed Systems (Back-End),7  yrs,"$380,000"
N/A,2,Full Stack,1  yr,"$116,250"
Etsy,IC3-1,ML / AI,5  yrs,"$326,200"
N/A,-,hidden,3  yrs,"$170,000"
Simply Business,Mid-level,Distributed Systems (Back-End),4  yrs,"$137,000"
New Relic,P2,Distributed Systems (Back-End),2  yrs,"$177,000"
Facebook,E5,Distributed Systems (Back-End),7  yrs,"$423,500"
Amazon,L3,Full Stack,0  yrs,"$175,050"
Amazon,SDE II,Distributed Systems (Back-End),6  yrs,"$296,000"
Fidelity Investments,L6,Full Stack,15  yrs,"$183,000"
Boeing,L2,General,4  yrs,"$115,000"
Amazon,SDE I,Full Stack,3  yrs,"$180,000"
Cariad,Principal Software Engineer,Embedded,15  yrs,"$650,000"
Patreon,L3,Mobile (iOS + Android),1  yr,"$180,000"
HPE,Senior,Full Stack,14  yrs,"$190,000"
Lumen,l1,Networking,2  yrs,"$75,000"
The Climate Corpo...,2,Security,1  yr,"$146,000"
Terminal,L2,Data,9  yrs,"$100,900"
Amazon,SDE III,Data,12  yrs,"$380,000"
Red Hat,L2,Data,3  yrs,"$120,000"
Pure Storage,MTS3,Distributed Systems (Back-End),8  yrs,"$243,500"
GEICO,Software Engineer I,TDP Software Engineer,0  yrs,"$125,000"
Google,L4,Networking,2  yrs,"$254,000"
Google,L5,Data,6  yrs,"$347,000"
BNY,hidden,hidden,0-1  yrs,"$115,000"
PlayStation,Software Engineer 2,Distributed Systems (Back-End),5  yrs,"$190,000"
T. Rowe Price,KM1,Full Stack,2  yrs,"$105,700"
Twilio,IC4,Distributed Systems (Back-End),10  yrs,"$595,000"
Booz Allen Hamilton,Lead Engineer,Data,17  yrs,"$180,000"
CME Group,Senior Software Engineer,Testing (SDET),8  yrs,"$147,000"
Accenture,Team Leader,hidden,10  yrs,"$152,000"
HubSpot,Staff Software Engineer,Distributed Systems (Back-End),15  yrs,"$350,000"
N/A,-,Full Stack,6  yrs,"$83,000"
Raytheon,P2,hidden,2  yrs,"$95,000"
Amazon,SDE I,Data,0  yrs,"$180,000"
Add,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,-,hidden,5  yrs,"$99,537"
Aurora,P5,ML / AI,2  yrs,"$252,500"
Tesla,P2,Testing (SDET),0  yrs,"$167,500"
NeuraFlash,Manager,"Applications (Salesforce, Workday, etc)",5  yrs,"$198,000"
